"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2019","135.27","137.37","137.50","134.28","1.51K","-1.53%"
"Mar 09, 2019","137.37","133.52","138.43","133.17","1.65K","2.88%"
"Mar 08, 2019","133.52","136.59","139.16","130.81","4.25K","-2.24%"
"Mar 07, 2019","136.59","137.51","139.96","135.29","2.85K","-0.67%"
"Mar 06, 2019","137.51","136.77","140.18","133.50","3.94K","0.54%"
"Mar 05, 2019","136.77","125.55","137.47","125.31","5.18K","8.94%"
"Mar 04, 2019","125.55","130.85","131.00","122.94","5.54K","-4.05%"
"Mar 03, 2019","130.85","132.36","134.73","128.47","1.87K","-1.14%"
"Mar 02, 2019","132.36","135.25","137.06","130.60","4.69K","-2.14%"
"Mar 01, 2019","135.25","134.89","137.70","134.64","2.66K","0.27%"
"Feb 28, 2019","134.89","130.61","138.50","130.61","4.01K","3.28%"
"Feb 27, 2019","130.61","136.29","139.98","127.15","7.19K","-4.17%"
"Feb 26, 2019","136.29","137.66","138.38","133.87","4.92K","-1.00%"
"Feb 25, 2019","137.66","132.26","141.32","132.26","8.55K","4.15%"
"Feb 24, 2019","132.17","158.02","165.47","132.17","24.43K","-16.36%"
"Feb 23, 2019","158.02","148.17","159.00","145.87","8.54K","6.65%"
"Feb 22, 2019","148.17","145.75","148.69","143.70","4.31K","1.66%"
"Feb 21, 2019","145.75","148.23","149.41","142.81","6.71K","-2.19%"
"Feb 20, 2019","149.01","143.71","149.50","140.13","9.84K","3.69%"
"Feb 19, 2019","143.71","145.27","149.69","142.60","8.23K","-1.07%"
"Feb 18, 2019","145.27","133.72","147.56","132.71","15.23K","8.64%"
"Feb 17, 2019","133.72","122.53","135.50","122.53","5.93K","9.13%"
"Feb 16, 2019","122.53","121.67","124.72","121.66","3.17K","0.71%"
"Feb 15, 2019","121.67","120.21","124.01","120.21","1.85K","1.22%"
"Feb 14, 2019","120.21","121.87","124.31","120.13","2.87K","-1.37%"
"Feb 13, 2019","121.87","122.48","126.05","120.96","1.96K","-0.50%"
"Feb 12, 2019","122.48","120.73","123.52","118.42","2.92K","1.45%"
"Feb 11, 2019","120.73","125.01","125.02","119.49","3.43K","-3.43%"
"Feb 10, 2019","125.01","119.61","125.61","116.00","3.35K","4.51%"
"Feb 09, 2019","119.61","119.45","121.00","117.73","4.28K","0.41%"
"Feb 08, 2019","119.13","104.36","122.65","103.52","6.40K","14.40%"
"Feb 07, 2019","104.13","104.42","106.07","103.94","1.23K","-0.27%"
"Feb 06, 2019","104.42","107.15","107.24","101.50","3.60K","-2.55%"
"Feb 05, 2019","107.15","107.71","108.00","106.47","1.04K","-0.52%"
"Feb 04, 2019","107.71","107.21","109.11","106.54","2.97K","0.47%"
"Feb 03, 2019","107.21","110.72","111.00","106.00","2.14K","-2.97%"
"Feb 02, 2019","110.49","106.90","111.00","105.97","1.84K","3.36%"
"Feb 01, 2019","106.90","106.39","108.25","104.01","2.65K","0.48%"
"Jan 31, 2019","106.39","108.76","110.38","105.66","3.03K","-2.18%"
"Jan 30, 2019","108.76","104.77","109.60","103.44","3.24K","3.81%"
"Jan 29, 2019","104.77","105.53","106.53","102.36","4.75K","-0.72%"
"Jan 28, 2019","105.53","112.19","112.96","101.08","8.73K","-6.19%"
"Jan 27, 2019","112.49","115.34","115.79","111.34","2.50K","-2.47%"
"Jan 26, 2019","115.34","115.13","117.38","115.00","1.49K","0.18%"
"Jan 25, 2019","115.13","116.15","116.82","114.44","2.74K","-0.88%"
"Jan 24, 2019","116.15","116.31","116.96","114.09","1.93K","-0.13%"
"Jan 23, 2019","116.30","117.98","118.69","114.85","5.00K","-1.43%"
"Jan 22, 2019","117.98","115.80","119.30","111.52","2.92K","1.89%"
"Jan 21, 2019","115.80","117.54","117.81","113.91","2.85K","-1.48%"
"Jan 20, 2019","117.54","122.89","123.30","116.07","3.83K","-4.36%"
"Jan 19, 2019","122.89","119.22","124.90","119.22","2.05K","3.33%"
"Jan 18, 2019","118.93","121.79","121.92","118.00","1.67K","-2.35%"
"Jan 17, 2019","121.79","121.19","122.93","117.47","3.06K","0.50%"
"Jan 16, 2019","121.19","119.36","126.20","118.68","3.78K","1.53%"
"Jan 15, 2019","119.36","126.47","129.14","116.30","11.56K","-5.62%"
"Jan 14, 2019","126.47","114.16","129.67","114.16","7.34K","10.78%"
"Jan 13, 2019","114.16","123.43","123.97","112.25","6.81K","-7.44%"
"Jan 12, 2019","123.33","124.45","125.87","122.12","2.29K","-0.90%"
"Jan 11, 2019","124.45","124.77","127.03","120.67","4.81K","-0.56%"
"Jan 10, 2019","125.15","147.92","149.29","121.50","11.86K","-15.39%"
"Jan 09, 2019","147.92","147.45","151.29","147.01","3.18K","0.32%"
"Jan 08, 2019","147.45","149.37","151.31","145.68","6.30K","-1.29%"
"Jan 07, 2019","149.37","153.82","155.22","147.81","6.00K","-2.84%"
"Jan 06, 2019","153.74","153.36","157.12","147.83","6.85K","0.58%"
"Jan 05, 2019","152.86","152.85","158.90","152.00","6.86K","0.00%"
"Jan 04, 2019","152.85","146.33","154.70","144.51","6.58K","4.46%"
"Jan 03, 2019","146.33","152.00","153.54","143.26","6.58K","-3.73%"
"Jan 02, 2019","152.00","138.95","154.83","138.00","12.09K","9.91%"
"Jan 01, 2019","138.30","131.60","139.84","130.23","6.53K","5.57%"
"Dec 31, 2018","131.00","136.79","138.16","129.00","5.61K","-4.24%"
"Dec 30, 2018","136.79","133.71","138.69","128.42","5.85K","3.04%"
"Dec 29, 2018","132.76","135.58","144.98","129.37","10.10K","-2.08%"
"Dec 28, 2018","135.58","113.87","136.10","112.47","12.87K","19.40%"
"Dec 27, 2018","113.55","129.41","130.43","111.41","11.00K","-12.26%"
"Dec 26, 2018","129.41","127.38","135.20","122.57","11.07K","1.66%"
"Dec 25, 2018","127.30","138.53","138.92","120.74","17.35K","-7.96%"
"Dec 24, 2018","138.31","128.98","157.32","128.98","19.08K","7.23%"
"Dec 23, 2018","128.98","114.73","131.80","114.73","18.72K","12.06%"
"Dec 22, 2018","115.10","108.00","115.10","105.62","5.33K","6.57%"
"Dec 21, 2018","108.00","113.94","118.00","105.04","13.90K","-5.43%"
"Dec 20, 2018","114.21","98.68","116.50","98.15","15.15K","15.74%"
"Dec 19, 2018","98.68","100.43","107.45","97.80","18.11K","-1.32%"
"Dec 18, 2018","100.00","94.04","101.00","91.60","12.54K","6.34%"
"Dec 17, 2018","94.04","84.43","96.81","84.43","9.28K","11.39%"
"Dec 16, 2018","84.43","83.82","87.55","83.80","5.60K","0.73%"
"Dec 15, 2018","83.82","83.77","85.06","81.84","4.00K","0.06%"
"Dec 14, 2018","83.77","86.29","86.90","82.20","4.87K","-2.92%"
"Dec 13, 2018","86.29","89.50","90.58","84.73","6.51K","-3.59%"
"Dec 12, 2018","89.50","87.60","91.25","86.91","4.53K","1.95%"
"Dec 11, 2018","87.79","89.97","91.54","86.05","4.40K","-2.42%"
"Dec 10, 2018","89.97","93.46","95.05","88.30","3.81K","-3.73%"
"Dec 09, 2018","93.46","90.32","98.40","88.62","6.39K","3.48%"
"Dec 08, 2018","90.32","93.15","97.90","84.60","10.98K","-3.04%"
"Dec 07, 2018","93.15","91.43","96.50","82.31","15.51K","2.30%"
"Dec 06, 2018","91.06","102.61","104.41","90.80","10.36K","-11.26%"
"Dec 05, 2018","102.61","110.08","110.71","102.50","4.69K","-6.79%"
"Dec 04, 2018","110.08","108.80","113.15","106.39","5.24K","1.18%"
"Dec 03, 2018","108.80","116.48","116.89","106.78","5.69K","-6.59%"
"Dec 02, 2018","116.48","118.40","120.99","116.00","1.91K","-1.62%"
"Dec 01, 2018","118.40","114.17","120.53","111.33","4.11K","4.37%"
"Nov 30, 2018","113.45","118.13","119.89","111.65","4.73K","-3.97%"
"Nov 29, 2018","118.13","122.70","124.03","115.00","5.37K","-3.47%"
"Nov 28, 2018","122.38","111.47","126.50","111.47","7.00K","9.79%"
"Nov 27, 2018","111.47","110.46","114.26","103.00","7.75K","0.91%"
"Nov 26, 2018","110.46","119.01","121.07","107.00","9.30K","-7.18%"
"Nov 25, 2018","119.01","115.10","121.99","103.00","16.64K","3.40%"
"Nov 24, 2018","115.10","125.24","130.00","112.41","8.12K","-8.10%"
"Nov 23, 2018","125.24","126.66","128.78","119.70","10.86K","-1.12%"
"Nov 22, 2018","126.66","138.35","140.09","125.66","5.49K","-8.45%"
"Nov 21, 2018","138.35","133.66","142.00","127.45","6.82K","3.51%"
"Nov 20, 2018","133.66","151.00","154.19","127.59","25.14K","-11.66%"
"Nov 19, 2018","151.31","177.93","178.96","147.65","13.73K","-14.96%"
"Nov 18, 2018","177.93","176.66","182.50","175.17","1.62K","0.72%"
"Nov 17, 2018","176.66","177.67","177.67","174.00","2.27K","-0.57%"
"Nov 16, 2018","177.67","184.28","184.93","174.00","1.75K","-3.59%"
"Nov 15, 2018","184.28","186.78","189.28","171.60","4.98K","-1.24%"
"Nov 14, 2018","186.60","210.96","211.22","177.36","11.46K","-11.55%"
"Nov 13, 2018","210.96","212.00","213.75","209.46","2.22K","-0.49%"
"Nov 12, 2018","212.00","212.58","215.00","211.02","1.22K","-0.27%"
"Nov 11, 2018","212.58","212.49","214.41","209.11","0.75K","0.04%"
"Nov 10, 2018","212.49","211.64","215.94","210.40","0.66K","0.41%"
"Nov 09, 2018","211.64","213.05","215.84","209.50","3.69K","-0.66%"
"Nov 08, 2018","213.05","218.19","220.52","213.05","3.01K","-2.36%"
"Nov 07, 2018","218.19","219.93","224.51","217.00","6.50K","-0.79%"
"Nov 06, 2018","219.93","210.00","220.80","208.79","6.51K","4.73%"
"Nov 05, 2018","210.00","212.62","213.03","207.75","1.17K","-1.23%"
"Nov 04, 2018","212.62","200.49","218.50","198.48","3.44K","6.05%"
"Nov 03, 2018","200.49","201.75","202.90","199.04","0.40K","-0.62%"
"Nov 02, 2018","201.75","199.44","203.71","199.32","1.23K","1.16%"
"Nov 01, 2018","199.44","199.00","200.64","197.72","0.66K","0.22%"
"Oct 31, 2018","199.00","197.93","200.50","193.50","2.31K","0.54%"
"Oct 30, 2018","197.93","196.18","198.78","196.00","0.44K","0.89%"
"Oct 29, 2018","196.18","205.34","205.50","195.60","1.91K","-4.46%"
"Oct 28, 2018","205.34","203.41","205.91","203.41","0.51K","0.95%"
"Oct 27, 2018","203.41","204.50","206.00","203.20","1.31K","-0.53%"
"Oct 26, 2018","204.50","204.19","209.00","203.11","1.22K","0.15%"
"Oct 25, 2018","204.19","205.95","206.25","203.09","1.44K","-0.85%"
"Oct 24, 2018","205.95","205.24","208.05","205.00","1.32K","0.35%"
"Oct 23, 2018","205.24","206.86","208.25","202.55","1.46K","-0.78%"
"Oct 22, 2018","206.86","207.50","209.00","205.10","1.57K","-0.31%"
"Oct 21, 2018","207.50","208.87","211.88","207.41","0.87K","-0.68%"
"Oct 20, 2018","208.91","205.00","209.92","204.00","1.19K","1.91%"
"Oct 19, 2018","205.00","206.00","207.94","204.30","1.89K","-0.49%"
"Oct 18, 2018","206.00","213.67","215.00","204.27","4.08K","-3.56%"
"Oct 17, 2018","213.60","216.14","216.20","211.00","1.56K","-1.18%"
"Oct 16, 2018","216.14","215.21","219.20","211.67","2.09K","0.68%"
"Oct 15, 2018","214.68","196.60","238.00","194.50","27.70K","9.20%"
"Oct 14, 2018","196.60","201.81","203.61","195.00","3.84K","-2.58%"
"Oct 13, 2018","201.81","197.80","202.90","196.50","1.46K","2.19%"
"Oct 12, 2018","197.49","191.65","202.17","190.11","5.90K","3.05%"
"Oct 11, 2018","191.65","226.60","226.60","189.33","18.42K","-15.42%"
"Oct 10, 2018","226.60","228.86","228.86","224.50","2.70K","-0.97%"
"Oct 09, 2018","228.83","230.49","231.41","226.63","2.17K","-0.72%"
"Oct 08, 2018","230.49","225.59","232.00","224.40","5.07K","1.65%"
"Oct 07, 2018","226.76","224.86","227.23","222.00","0.79K","0.84%"
"Oct 06, 2018","224.86","227.60","229.21","223.00","1.72K","-1.76%"
"Oct 05, 2018","228.89","223.34","231.67","219.92","2.55K","2.48%"
"Oct 04, 2018","223.34","221.50","227.01","219.97","2.99K","0.94%"
"Oct 03, 2018","221.26","226.42","226.77","216.90","6.83K","-2.46%"
"Oct 02, 2018","226.84","230.74","232.45","223.83","3.09K","-2.14%"
"Oct 01, 2018","231.81","232.48","235.05","225.05","4.78K","-0.59%"
"Sep 30, 2018","233.18","231.40","238.50","226.37","7.50K","0.51%"
"Sep 29, 2018","232.00","222.00","236.80","214.01","9.04K","4.50%"
"Sep 28, 2018","222.00","228.20","233.60","215.30","11.50K","-2.74%"
"Sep 27, 2018","228.25","214.78","233.88","210.00","9.17K","6.27%"
"Sep 26, 2018","214.78","219.10","222.89","207.78","8.23K","-1.78%"
"Sep 25, 2018","218.68","227.40","227.40","204.00","18.14K","-3.85%"
"Sep 24, 2018","227.44","244.02","246.70","225.22","7.01K","-6.80%"
"Sep 23, 2018","244.02","240.70","249.26","237.00","4.23K","1.38%"
"Sep 22, 2018","240.70","247.55","255.52","233.00","7.86K","-2.93%"
"Sep 21, 2018","247.95","223.59","251.80","220.30","25.39K","10.21%"
"Sep 20, 2018","224.99","210.31","226.03","207.09","10.02K","6.98%"
"Sep 19, 2018","210.31","209.11","214.50","198.16","7.74K","0.55%"
"Sep 18, 2018","209.16","196.47","215.00","194.00","14.58K","6.65%"
"Sep 17, 2018","196.13","220.78","224.65","192.77","25.24K","-11.16%"
"Sep 16, 2018","220.78","222.21","223.10","208.00","10.21K","-0.61%"
"Sep 15, 2018","222.13","208.09","227.15","208.08","14.06K","6.11%"
"Sep 14, 2018","209.35","211.26","224.00","202.29","19.15K","-0.84%"
"Sep 13, 2018","211.12","182.74","215.00","182.74","21.75K","15.53%"
"Sep 12, 2018","182.74","185.36","185.45","167.35","31.18K","-1.41%"
"Sep 11, 2018","185.36","197.21","199.00","176.50","10.90K","-6.01%"
"Sep 10, 2018","197.21","195.58","202.91","187.11","6.94K","0.83%"
